Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR10586164.skesa	-	-	H1	-:H1	-	Based on 1 allele(s)	fliC:1;	H1-10-fliC;	100;	100;	Contig_72_42.8114;	157492-159279;	1788;	v1.0 (11-03-2020)	-
SRR10586165.skesa	-	O120	H14	O120:H14	-	Based on 2 allele(s)	wzx:0.9;fliC:0.98;	O120-4-wzx;H14-4-fliC;	100;98.185;	90;100;	Contig_79_55.3841;Contig_5_52.9762;	1-1329;61478-63130;	1329;1653;	v1.0 (11-03-2020)	-
SRR10586226.skesa	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-21-fliC;	100;	100;	Contig_154_52.486;	13171-14220;	1050;	v1.0 (11-03-2020)	-
SRR10687792.skesa	-	O39	H28	O39:H28	-	Based on 2 allele(s)	wzx:0.999;fliC:1;	O39-3-wzx;H28-4-fliC;	99.932;100;	100;100;	Contig_16_68.7006;Contig_6_68.2065;	1964-3442;156688-158427;	1479;1740;	v1.0 (11-03-2020)	-
SRR10687887.skesa	-	O19	H7	O19:H7	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O19-1-wzx-origin;O19-2-wzy-origin;H7-6-fliC-origin;	99.92;100;100;	100;100;100;	Contig_127_53.0931;Contig_127_53.0931;Contig_131_54.347;	9475-10731;8349-9473;13446-15203;	1257;1125;1758;	v1.0 (11-03-2020)	-
SRR10687924.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-25-fliC;	100;	100;	Contig_43_72.1898;	23223-24485;	1263;	v1.0 (11-03-2020)	-
SRR10687934.skesa	-	-	H9	-:H9	-	Based on 1 allele(s)	fliC:1;	H9-1-fliC-origin;	100;	100;	Contig_28_49.8384;	157074-159086;	2013;	v1.0 (11-03-2020)	-
SRR10687941.skesa	-	O81	H27	O81:H27	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O81-1-wzx-origin;O81-2-wzy-origin;H27-11-fliC;	100;99.919;100;	100;100;100;	Contig_18_51.054;Contig_18_51.054;Contig_16_50.2241;	37476-38777;34298-35527;7431-8891;	1302;1230;1461;	v1.0 (11-03-2020)	-
SRR10687957.skesa	-	O174	H4	O174:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.964;fliC:1;	O174-4-wzx-origin;O174-11-wzy;H4-2-fliC-origin;	100;96.404;100;	100;100;100;	Contig_52_27.707;Contig_52_27.707;Contig_31_27.6829;	149876-151147;151128-152267;33764-34813;	1272;1140;1050;	v1.0 (11-03-2020)	-
SRR10687958.skesa	-	O154	H34	O154:H34	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.66;	O154-1-wzx-origin;O154-4-wzy;H34-3-fliC;	100;100;98.548;	100;100;67;	Contig_98_66.9177;Contig_98_66.9177;Contig_76_70.7334;	64846-66138;69307-70347;36753-37854;	1293;1041;1102;	v1.0 (11-03-2020)	-
SRR10687960.skesa	-	O51	H1	O51:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O51-1-wzx-origin;O51-2-wzy-origin;H1-9-fliC;	100;100;100;	100;100;100;	Contig_7_72.8348;Contig_7_72.8348;Contig_88_72.7618;	231012-232571;233447-234484;55695-57482;	1560;1038;1788;	v1.0 (11-03-2020)	-
SRR10823780.skesa	-	O36	H9	O36:H9	-	Based on 2 allele(s)	wzx:1;fliC:0.99;	O36-1-wzx-origin;H9-5-fliC;	100;99.255;	100;100;	Contig_104_84.4544;Contig_201_83.5333;	27981-29225;5174-7186;	1245;2013;	v1.0 (11-03-2020)	-
SRR10990268.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-20-fliC;	100;	100;	Contig_40_43.6031;	55131-56393;	1263;	v1.0 (11-03-2020)	-
SRR11101274.skesa	-	O8	H19	O8:H19	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H19-4-fliC;	100;100;99.945;	100;100;100;	Contig_15_51.586;Contig_15_51.586;Contig_101_54.9651;	35226-36020;34012-35226;46815-48646;	795;1215;1832;	v1.0 (11-03-2020)	-
SRR11450265.skesa	-	O8	H25	O8:H25	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H25-2-fliC-origin;	100;100;100;	100;100;100;	Contig_210_83.9925;Contig_210_83.9925;Contig_130_76.6183;	40891-41685;39677-40891;6406-7737;	795;1215;1332;	v1.0 (11-03-2020)	-
SRR12026314.skesa	-	-	H8	-:H8	-	Based on 1 allele(s)	fliC:1;	H8-2-fliC-origin;	99.932;	100;	Contig_54_77.0155;	13808-15286;	1479;	v1.0 (11-03-2020)	-
SRR12817909.skesa	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-2-fliC-origin;	100;	100;	Contig_51_74.4564;	5045-6094;	1050;	v1.0 (11-03-2020)	-
SRR12817910.skesa	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-2-fliC-origin;	100;	100;	Contig_48_94.8931;	40704-41753;	1050;	v1.0 (11-03-2020)	-
SRR12817914.skesa	-	-	H34	-:H34	-	Based on 1 allele(s)	fliC:0.66;	H34-3-fliC;	98.547;	67;	Contig_41_75.6349;	14050-15150;	1101;	v1.0 (11-03-2020)	-
SRR12817915.skesa	-	-	H28	-:H28	-	Based on 1 allele(s)	fliC:1;	H28-7-fliC;	100;	100;	Contig_38_98.4896;	15358-17097;	1740;	v1.0 (11-03-2020)	-
SRR12817916.skesa	-	O13/O129/O135	H30	O13/O129/O135:H30	-	Based on 2 allele(s)	wzx:1;fliC:1;	O13-1-wzx-origin;H30-1-fliC-origin;	100;99.942;	100;100;	Contig_77_118.501;Contig_94_107.696;	389-1645;13412-15124;	1257;1713;	v1.0 (11-03-2020)	High similarity O-antigen group 10:O13/O129/O135 as per A.Iguchi et.al (PMID: 25428893)
SRR12827136.skesa	-	O8	H19	O8:H19	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-20-wzm;O8-32-wzt;H19-2-fliC-origin;	100;100;100;	100;100;100;	Contig_34_55.4487;Contig_34_55.4487;Contig_74_54.6559;	25343-26137;24129-25343;12381-14222;	795;1215;1842;	v1.0 (11-03-2020)	-
SRR12827158.skesa	-	O89	H37	O89:H37	-	Based on 3 allele(s)	wzm:0.941;wzt:0.936;fliC:1;	O89-1-wzm-origin;O89-4-wzt;H37-1-fliC-origin;	94.103;93.625;100;	100;100;100;	Contig_130_32.7825;Contig_130_32.7825;Contig_146_40.3842;	5457-6236;6243-6995;6602-8287;	780;753;1686;	v1.0 (11-03-2020)	High similarity O-antigen group 15:O89/O101/O162 as per A.Iguchi et.al (PMID: 25428893)
SRR12827171.skesa	-	O9	H37	O9:H37	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-20-wzt;H37-1-fliC-origin;	100;100;100;	100;100;100;	Contig_38_56.9765;Contig_38_56.9765;Contig_88_51.2076;	44534-45319;43236-44531;17120-18805;	786;1296;1686;	v1.0 (11-03-2020)	-
SRR12827289.skesa	-	O174	H9	O174:H9	-	Based on 2 allele(s)	wzx:1;fliC:0.99;	O174-1-wzx-origin;H9-5-fliC;	100;99.354;	100;100;	Contig_9_56.809;Contig_111_56.9476;	35-1306;29303-31315;	1272;2013;	v1.0 (11-03-2020)	-
SRR12827341.skesa	-	O8	H26	O8:H26	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O8-13-wzm;O8-34-wzt;H26-4-fliC;	100;99.918;100;	100;100;100;	Contig_151_69.5922;Contig_151_69.5922;Contig_68_62.2717;	29825-30619;28611-29825;194100-195772;	795;1215;1673;	v1.0 (11-03-2020)	-
SRR12827371.skesa	-	O8	H26	O8:H26	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O8-13-wzm;O8-34-wzt;H26-4-fliC;	100;99.918;100;	100;100;100;	Contig_34_39.5441;Contig_34_39.5441;Contig_122_35.9122;	24232-25026;23018-24232;159315-160987;	795;1215;1673;	v1.0 (11-03-2020)	-
SRR12827424.skesa	-	-	H19	-:H19	-	Based on 1 allele(s)	fliC:1;	H19-2-fliC-origin;	100;	100;	Contig_57_46.9297;	12380-14221;	1842;	v1.0 (11-03-2020)	-
SRR12827450.skesa	-	O149	H19	O149:H19	-	Based on 3 allele(s)	wzx:1;wzy:0.95;fliC:1;	O149-1-wzx-origin;O149-5-wzy;H19-2-fliC-origin;	100;100;100;	100;95;100;	Contig_90_48.8295;Contig_73_14.3816;Contig_13_49.1543;	836-2020;508-1524;12379-14220;	1185;1017;1842;	v1.0 (11-03-2020)	-
SRR12827723.skesa	-	-	H9	-:H9	-	Based on 1 allele(s)	fliC:0.99;	H9-5-fliC;	99.354;	100;	Contig_122_70.5743;	29303-31315;	2013;	v1.0 (11-03-2020)	-
SRR12842658.skesa	-	O8	H14	O8:H14	-	Based on 3 allele(s)	wzm:1;wzt:0.994;fliC:0.97;	O8-10-wzm;O8-26-wzt;H14-5-fliC;	100;99.424;96.673;	100;100;100;	Contig_46_50.1856;Contig_46_50.1856;Contig_22_49.3082;	40956-41750;39742-40956;42253-43905;	795;1215;1653;	v1.0 (11-03-2020)	-
SRR12849856.skesa	-	O25	H12	O25:H12	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O25-1-wzx-origin;O25-5-wzy;H12-3-fliC-origin;	100;100;100;	100;100;100;	Contig_5_64.2829;Contig_5_64.2829;Contig_21_62.8308;	33909-35168;37325-38387;62353-64140;	1260;1063;1788;	v1.0 (11-03-2020)	-
SRR13059443.skesa	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.956;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.579;100;	100;100;100;	Contig_100_95.6577;Contig_13_32.7247;Contig_43_90.7812;	80509-81768;712-1774;38806-39855;	1260;1063;1050;	v1.0 (11-03-2020)	-
SRR13059446.skesa	-	O22	H32	O22:H32	-	Based on 3 allele(s)	wzx:0.999;wzy:0.993;fliC:1;	O22-7-wzx;O22-5-wzy-origin;H32-2-fliC;	99.919;99.261;99.942;	100;100;100;	Contig_7_20.0179;Contig_7_20.0179;Contig_40_74.3043;	1990-3225;4922-6139;95926-97638;	1236;1218;1713;	v1.0 (11-03-2020)	-
SRR13059447.skesa	-	O150	H8	O150:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O150-4-wzx;O150-7-wzy;H8-2-fliC-origin;	100;100;100;	100;100;100;	Contig_90_68.7586;Contig_90_68.7586;Contig_4_64.405;	6933-8435;1958-3055;125487-126965;	1503;1098;1479;	v1.0 (11-03-2020)	-
SRR5181594.skesa	-	O110	H2	O110:H2	-	Based on 3 allele(s)	wzx:0.999;wzy:0.998;fliC:1;	O110-1-wzx-origin;O110-2-wzy-origin;H2-16-fliC;	99.92;99.834;99.933;	100;100;100;	Contig_82_70.2231;Contig_82_70.2231;Contig_82_70.2231;	228930-230180;226601-227805;121983-123476;	1251;1206;1494;	v1.0 (11-03-2020)	-
SRR7786680.skesa	-	O157	H19	O157:H19	-	Based on 3 allele(s)	wzx:0.949;wzy:0.999;fliC:1;	O157-3-wzx-origin;O157-8-wzy-origin;H19-4-fliC;	99.925;99.916;99.891;	95;100;100;	Contig_236_32.6251;Contig_190_33.3836;Contig_94_33.6511;	58268-59596;638-1822;123352-125183;	1329;1185;1832;	v1.0 (11-03-2020)	-
SRR8095373.skesa	-	O5	H10	O5:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O5-1-wzx-origin;O5-2-wzy-origin;H10-20-fliC;	100;100;100;	100;100;100;	Contig_12_31.8288;Contig_12_31.8288;Contig_65_47.2006;	3044-4300;1727-3043;143374-144636;	1257;1317;1263;	v1.0 (11-03-2020)	-
SRR8095374.skesa	-	O7	H4	O7:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O7-14-wzx;O7-39-wzy;H4-1-fliC-origin;	100;100;99.333;	100;100;100;	Contig_134_35.6422;Contig_134_35.6422;Contig_5_33.5012;	32239-33670;27808-28534;121694-122743;	1432;727;1050;	v1.0 (11-03-2020)	-
SRR8095378.skesa	-	O8/O46/O134	H21	O8/O46/O134:H21	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-16-wzm;O8-32-wzt;H21-12-fliC;	100;100;100;	100;100;100;	Contig_63_69.3111;Contig_63_69.3111;Contig_60_67.0924;	68811-69605;67597-68811;177873-179348;	795;1215;1476;	v1.0 (11-03-2020)	High similarity O-antigen group 6:O46/O134 as per A.Iguchi et.al (PMID: 25428893)
SRR8095388.skesa	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	Contig_185_49.5184;Contig_185_49.5184;Contig_75_43.7919;	12438-13712;15117-16406;41984-43033;	1275;1290;1050;	v1.0 (11-03-2020)	-
SRR8095392.skesa	-	O86	H10	O86:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O86-7-wzx;O86-15-wzy;H10-10-fliC;	100;100;100;	100;100;100;	Contig_200_36.0434;Contig_200_36.0434;Contig_293_29.6344;	3306-4508;5196-6537;10410-11671;	1203;1342;1262;	v1.0 (11-03-2020)	-
SRR8095406.skesa	-	O9	H17	O9:H17	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-20-wzt;H17-4-fliC;	100;100;100;	100;100;100;	Contig_145_23.5054;Contig_145_23.5054;Contig_139_19.8673;	30668-31453;29370-30665;58391-59440;	786;1296;1050;	v1.0 (11-03-2020)	-
SRR8095562.skesa	-	O117/O107	H4	O117/O107:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O117-1-wzx-origin;O117-3-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	Contig_42_36.6352;Contig_42_36.6352;Contig_30_35.5158;	89909-91126;91119-92441;69988-71037;	1218;1323;1050;	v1.0 (11-03-2020)	High similarity O-antigen group 8:O107/O117 as per A.Iguchi et.al (PMID: 25428893)
SRR8095566.skesa	-	O83	H32	O83:H32	-	Based on 3 allele(s)	wzx:0.998;wzy:0.997;fliC:1;	O83-4-wzx;O83-5-wzy;H32-2-fliC;	99.792;99.676;99.883;	100;100;100;	Contig_155_36.514;Contig_155_36.514;Contig_33_29.5091;	8860-10302;7628-8863;6539-8251;	1443;1236;1713;	v1.0 (11-03-2020)	-
SRR8095567.skesa	-	O77/O17/O44/O106/O73	H18	O77/O17/O44/O106/O73:H18	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H18-1-fliC-origin;	100;100;100;	100;100;100;	Contig_30_58.3441;Contig_30_58.3441;Contig_30_58.3441;	193104-194339;194381-195712;90460-92124;	1236;1332;1665;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
SRR8095659.skesa	-	O10	H33	O10:H33	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O10-1-wzx-origin;O10-2-wzy-origin;H33-1-fliC-origin;	100;100;100;	100;100;100;	Contig_184_39.6392;Contig_184_39.6392;Contig_178_40.5027;	5177-6697;2113-3156;11510-12796;	1521;1044;1287;	v1.0 (11-03-2020)	-
SRR8095663.skesa	-	O109	H7	O109:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O109-4-wzx;O109-7-wzy;H7-6-fliC-origin;	100;100;99.943;	100;100;100;	Contig_19_27.9102;Contig_19_27.9102;Contig_31_26.8035;	93481-94845;86924-88144;14001-15758;	1365;1221;1758;	v1.0 (11-03-2020)	-
SRR8095746.skesa	-	O13/O135	H10	O13/O135:H10	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O13-1-wzx-origin;O13-2-wzy-origin;H10-20-fliC;	100;100;100;	100;100;100;	Contig_98_45.3784;Contig_98_45.3784;Contig_160_46.5004;	46258-47514;43271-44419;93748-95010;	1257;1149;1263;	v1.0 (11-03-2020)	High similarity O-antigen group 10:O13/O129/O135 as per A.Iguchi et.al (PMID: 25428893)
SRR8095750.skesa	-	O51	H14	O51:H14	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:0.96;	O51-3-wzx;O51-5-wzy;H14-5-fliC;	100;99.904;96.491;	100;100;100;	Contig_3_36.49;Contig_3_36.49;Contig_3_36.49;	504537-506096;502624-503661;383334-384986;	1560;1038;1653;	v1.0 (11-03-2020)	-
SRR8095774.skesa	-	O33	H4	O33:H4	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O33-1-wzx-origin;O33-2-wzy-origin;H4-2-fliC-origin;	100;100;100;	100;100;100;	Contig_98_34.4238;Contig_98_34.4238;Contig_25_32.0345;	33698-34942;31348-32550;34413-35462;	1245;1203;1050;	v1.0 (11-03-2020)	-
SRR8095775.skesa	-	O77/O17/O44/O106	H1	O77/O17/O44/O106:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;O77-3-wzy-inhouse/O17-2-wzy-origin;H1-11-fliC;	100;100;100;	100;100;100;	Contig_93_30.6322;Contig_93_30.6322;Contig_93_30.6322;	47138-48373;45765-47096;149823-151610;	1236;1332;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
SRR8095856.skesa	-	-	H21	-:H21	-	Based on 1 allele(s)	fliC:1;	H21-12-fliC;	100;	100;	Contig_102_75.122;	46666-48141;	1476;	v1.0 (11-03-2020)	-
SRR8095858.skesa	-	O8	H25	O8:H25	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H25-2-fliC-origin;	100;100;100;	100;100;100;	Contig_68_84.3749;Contig_68_84.3749;Contig_89_73.0954;	2041-2835;2835-4049;46819-48150;	795;1215;1332;	v1.0 (11-03-2020)	-
SRR8095909.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-20-fliC;	100;	100;	Contig_31_74.388;	62595-63857;	1263;	v1.0 (11-03-2020)	-
SRR8095940.skesa	-	O125	H19	O125:H19	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O125-3-wzx-origin;O125-4-wzy-origin;H19-4-fliC;	100;100;99.945;	100;100;100;	Contig_77_69.3711;Contig_77_69.3711;Contig_66_75.3296;	518750-520021;521785-523107;11718-13549;	1272;1323;1832;	v1.0 (11-03-2020)	-
SRR8095942.skesa	-	O7	H6	O7:H6	-	Based on 3 allele(s)	wzx:0.92;wzy:1;fliC:1;	O7-17-wzx;O7-32-wzy;H6-17-fliC;	100;100;99.637;	92;100;100;	Contig_36_41.3971;Contig_48_43.4528;Contig_48_43.4528;	1-1304;3331-4481;121386-123032;	1304;1151;1653;	v1.0 (11-03-2020)	-
SRR8095943.skesa	-	O113	H21	O113:H21	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O113-3-wzx;O113-2-wzy-origin;H21-12-fliC;	99.859;100;99.932;	100;100;100;	Contig_84_24.4519;Contig_84_24.4519;Contig_14_25.1785;	18296-19717;20655-21842;89708-91183;	1422;1188;1476;	v1.0 (11-03-2020)	-
SRR8095944.skesa	-	O8	H34	O8:H34	-	Based on 3 allele(s)	wzm:1;wzt:0.991;fliC:0.66;	O8-10-wzm;O8-3-wzt-origin;H34-4-fliC;	100;99.095;98.185;	100;100;67;	Contig_3_26.2807;Contig_3_26.2807;Contig_3_26.2807;	298808-299602;297594-298808;155134-156235;	795;1215;1102;	v1.0 (11-03-2020)	-
SRR8157249.skesa	-	-	H37	-:H37	-	Based on 1 allele(s)	fliC:1;	H37-1-fliC-origin;	99.941;	100;	Contig_239_58.5734;	14932-16617;	1686;	v1.0 (11-03-2020)	-
SRR8256245.skesa	-	O8	H19	O8:H19	-	Based on 3 allele(s)	wzm:1;wzt:0.998;fliC:1;	O8-22-wzm;O8-26-wzt;H19-2-fliC-origin;	100;99.835;100;	100;100;100;	Contig_6_111.443;Contig_6_111.443;Contig_25_110.699;	40079-40873;38865-40079;11023-12864;	795;1215;1842;	v1.0 (11-03-2020)	-
SRR8590649.skesa	-	-	H19	-:H19	-	Based on 1 allele(s)	fliC:1;	H19-2-fliC-origin;	100;	100;	Contig_31_68.6259;	12381-14222;	1842;	v1.0 (11-03-2020)	-
SRR8590658.skesa	-	O149	H19	O149:H19	-	Based on 2 allele(s)	wzy:0.98;fliC:1;	O149-5-wzy;H19-2-fliC-origin;	100;100;	98;100;	Contig_45_16.8379;Contig_67_60.8759;	664-1710;12380-14221;	1047;1842;	v1.0 (11-03-2020)	-
SRR8590740.skesa	-	O141	H4	O141:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O141-1-wzx-origin;O141-4-wzy-origin;H4-21-fliC;	100;99.91;100;	100;100;100;	Contig_41_84.7387;Contig_41_84.7387;Contig_74_89.5668;	48206-49447;51488-52600;89869-90918;	1242;1113;1050;	v1.0 (11-03-2020)	-
SRR8590846.skesa	-	O8	H19	O8:H19	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-1-wzm-origin;O8-28-wzt;H19-2-fliC-origin;	100;100;100;	100;100;100;	Contig_29_64.229;Contig_29_64.229;Contig_41_67.8976;	27662-28456;26448-27662;12381-14222;	795;1215;1842;	v1.0 (11-03-2020)	-
SRR8590855.skesa	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-2-fliC-origin;	100;	100;	Contig_9_56.4494;	23023-24072;	1050;	v1.0 (11-03-2020)	-
SRR8590873.skesa	-	-	H5	-:H5	-	Based on 1 allele(s)	fliC:1;	H5-13-fliC;	100;	100;	Contig_168_61.659;	6742-8052;	1311;	v1.0 (11-03-2020)	-
SRR8590885.skesa	-	O9	H21	O9:H21	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-19-wzt;H21-10-fliC;	100;100;100;	100;100;100;	Contig_203_47.6309;Contig_203_47.6309;Contig_125_50.3824;	26768-27553;25470-26765;14153-15628;	786;1296;1476;	v1.0 (11-03-2020)	-
SRR8643752.skesa	-	O139	H1	O139:H1	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O139-1-wzx-origin;O139-2-wzy-origin;H1-10-fliC;	100;99.758;100;	100;100;100;	Contig_21_35.4184;Contig_21_35.4184;Contig_9_36.5948;	76705-77925;74611-75849;157491-159278;	1221;1239;1788;	v1.0 (11-03-2020)	-
SRR8643843.skesa	-	O139	H1	O139:H1	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O139-1-wzx-origin;O139-2-wzy-origin;H1-10-fliC;	100;99.758;100;	100;100;100;	Contig_18_43.9941;Contig_18_43.9941;Contig_35_45.2402;	76705-77925;74611-75849;157492-159279;	1221;1239;1788;	v1.0 (11-03-2020)	-
SRR8643847.skesa	-	-	H1	-:H1	-	Based on 1 allele(s)	fliC:1;	H1-10-fliC;	100;	100;	Contig_54_47.2946;	157492-159279;	1788;	v1.0 (11-03-2020)	-
SRR8649952.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-4-fliC;	100;	100;	Contig_56_61.9719;	18290-19551;	1262;	v1.0 (11-03-2020)	-
SRR8728090.skesa	-	-	H31	-:H31	-	Based on 1 allele(s)	fliC:1;	H31-2-fliC-origin;	100;	100;	Contig_46_59.6684;	52983-54650;	1668;	v1.0 (11-03-2020)	-
SRR8838540.skesa	-	-	H30	-:H30	-	Based on 1 allele(s)	fliC:1;	H30-1-fliC-origin;	100;	100;	Contig_281_63.374;	5170-6882;	1713;	v1.0 (11-03-2020)	-
SRR9048654.skesa	-	-	H27	-:H27	-	Based on 1 allele(s)	fliC:1;	H27-11-fliC;	100;	100;	Contig_74_94.8438;	142403-143863;	1461;	v1.0 (11-03-2020)	-
SRR9160160.skesa	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-20-fliC;	100;	100;	Contig_19_72.282;	42982-44244;	1263;	v1.0 (11-03-2020)	-
SRR9265274.skesa	-	O15	H2	O15:H2	-	Based on 2 allele(s)	wzx:1;fliC:1;	O15-1-wzx-origin;H2-2-fliC-origin;	100;100;	100;100;	Contig_257_73.3962;Contig_28_59.699;	669-1913;181179-182672;	1245;1494;	v1.0 (11-03-2020)	-
